seccion,coordenada,comparacion,operacion,ID,formulas
CNDHF_2022_M2_Secc4,S257,a1,mayor,a1.4>,"=IF(AND(S257>=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S257)),AND(ISBLANK(I80),ISBLANK(S257)),OR(AND(ISBLANK(I80),S257=""""),AND(ISBLANK(S257),I80="""")))),0,IF(OR(AND(S257=""NS"",I80>0,ISNUMBER(I80)),AND(S257=""NS"",I80=""NS""),OR(AND(I80=""NA"",S257=""NA""),AND(I80=""NA"",ISBLANK(S257)))),0,1))"
CNDHF_2022_M2_Secc4,Y445,b6,mayor,b6.1>,"=IF(AND(Y445>=C24,OR(AND(ISNUMBER(C24),ISNUMBER(Y445)),AND(ISBLANK(C24),ISBLANK(Y445)),OR(AND(ISBLANK(C24),Y445=""""),AND(ISBLANK(Y445),C24="""")))),0,IF(OR(AND(Y445=""NS"",C24>0,ISNUMBER(C24)),AND(Y445=""NS"",C24=""NS""),OR(AND(C24=""NA"",Y445=""NA""),AND(C24=""NA"",ISBLANK(Y445)))),0,1))"
CNDHF_2022_M2_Secc4,S357,a1,mayor,a1.7>,"=IF(AND(S357>=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S357)),AND(ISBLANK(I80),ISBLANK(S357)),OR(AND(ISBLANK(I80),S357=""""),AND(ISBLANK(S357),I80="""")))),0,IF(OR(AND(S357=""NS"",I80>0,ISNUMBER(I80)),AND(S357=""NS"",I80=""NS""),OR(AND(I80=""NA"",S357=""NA""),AND(I80=""NA"",ISBLANK(S357)))),0,1))"
CNDHF_2022_M2_Secc4,"S158,S159,S160,S161,S162,S163,S164,S165,S166,S167",a7,igual,a7.1=,"=IF(AND(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167))))=S136,OR(AND(ISNUMBER(S136),ISNUMBER(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167)))))),AND(ISBLANK(S136),ISBLANK(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167)))))),OR(AND(ISBLANK(S136),IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167))))=""""),AND(ISBLANK(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167))))),S136="""")))),0,IF(OR(AND(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167))))=""NS"",S136>0,ISNUMBER(S136)),AND(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167))))=""NS"",S136=""NS""),OR(AND(S136=""NA"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167))))=""NA""),AND(S136=""NA"",ISBLANK(IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NS"")>0),""NS"",IF(AND(SUM(S158:S167)=0,COUNTIF(S158:S167,""NA"")>0),""NA"",IF(AND(ISBLANK(S158),ISBLANK(S159),ISBLANK(S160),ISBLANK(S161),ISBLANK(S162),ISBLANK(S163),ISBLANK(S164),ISBLANK(S165),ISBLANK(S166),ISBLANK(S167)),"""",SUM(S158:S167)))))))),0,1))"
CNDHF_2022_M2_Secc4,"S154,S155,S156,S157",a4,igual,a4.1=,"=IF(AND(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157))))=S135,OR(AND(ISNUMBER(S135),ISNUMBER(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157)))))),AND(ISBLANK(S135),ISBLANK(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157)))))),OR(AND(ISBLANK(S135),IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157))))=""""),AND(ISBLANK(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157))))),S135="""")))),0,IF(OR(AND(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157))))=""NS"",S135>0,ISNUMBER(S135)),AND(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157))))=""NS"",S135=""NS""),OR(AND(S135=""NA"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157))))=""NA""),AND(S135=""NA"",ISBLANK(IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NS"")>0),""NS"",IF(AND(SUM(S154:S157)=0,COUNTIF(S154:S157,""NA"")>0),""NA"",IF(AND(ISBLANK(S154),ISBLANK(S155),ISBLANK(S156),ISBLANK(S157)),"""",SUM(S154:S157)))))))),0,1))"
CNDHF_2022_M2_Secc4,"Y154,Y155,Y156,Y157",a5,igual,a5.1=,"=IF(AND(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157))))=Y135,OR(AND(ISNUMBER(Y135),ISNUMBER(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157)))))),AND(ISBLANK(Y135),ISBLANK(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157)))))),OR(AND(ISBLANK(Y135),IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157))))=""""),AND(ISBLANK(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157))))),Y135="""")))),0,IF(OR(AND(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157))))=""NS"",Y135>0,ISNUMBER(Y135)),AND(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157))))=""NS"",Y135=""NS""),OR(AND(Y135=""NA"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157))))=""NA""),AND(Y135=""NA"",ISBLANK(IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NS"")>0),""NS"",IF(AND(SUM(Y154:Y157)=0,COUNTIF(Y154:Y157,""NA"")>0),""NA"",IF(AND(ISBLANK(Y154),ISBLANK(Y155),ISBLANK(Y156),ISBLANK(Y157)),"""",SUM(Y154:Y157)))))))),0,1))"
CNDHF_2022_M2_Secc4,"M158,M159,M160,M161,M162,M163,M164,M165,M166,M167",a6,igual,a6.1=,"=IF(AND(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167))))=M136,OR(AND(ISNUMBER(M136),ISNUMBER(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167)))))),AND(ISBLANK(M136),ISBLANK(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167)))))),OR(AND(ISBLANK(M136),IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167))))=""""),AND(ISBLANK(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167))))),M136="""")))),0,IF(OR(AND(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167))))=""NS"",M136>0,ISNUMBER(M136)),AND(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167))))=""NS"",M136=""NS""),OR(AND(M136=""NA"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167))))=""NA""),AND(M136=""NA"",ISBLANK(IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NS"")>0),""NS"",IF(AND(SUM(M158:M167)=0,COUNTIF(M158:M167,""NA"")>0),""NA"",IF(AND(ISBLANK(M158),ISBLANK(M159),ISBLANK(M160),ISBLANK(M161),ISBLANK(M162),ISBLANK(M163),ISBLANK(M164),ISBLANK(M165),ISBLANK(M166),ISBLANK(M167)),"""",SUM(M158:M167)))))))),0,1))"
CNDHF_2022_M2_Secc4,"Y158,Y159,Y160,Y161,Y162,Y163,Y164,Y165,Y166,Y167",a8,igual,a8.1=,"=IF(AND(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167))))=Y136,OR(AND(ISNUMBER(Y136),ISNUMBER(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167)))))),AND(ISBLANK(Y136),ISBLANK(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167)))))),OR(AND(ISBLANK(Y136),IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167))))=""""),AND(ISBLANK(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167))))),Y136="""")))),0,IF(OR(AND(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167))))=""NS"",Y136>0,ISNUMBER(Y136)),AND(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167))))=""NS"",Y136=""NS""),OR(AND(Y136=""NA"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167))))=""NA""),AND(Y136=""NA"",ISBLANK(IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NS"")>0),""NS"",IF(AND(SUM(Y158:Y167)=0,COUNTIF(Y158:Y167,""NA"")>0),""NA"",IF(AND(ISBLANK(Y158),ISBLANK(Y159),ISBLANK(Y160),ISBLANK(Y161),ISBLANK(Y162),ISBLANK(Y163),ISBLANK(Y164),ISBLANK(Y165),ISBLANK(Y166),ISBLANK(Y167)),"""",SUM(Y158:Y167)))))))),0,1))"
CNDHF_2022_M2_Secc4,S168,b1,igual,b1.1=,"=IF(AND(S168=S137,OR(AND(ISNUMBER(S137),ISNUMBER(S168)),AND(ISBLANK(S137),ISBLANK(S168)),OR(AND(ISBLANK(S137),S168=""""),AND(ISBLANK(S168),S137="""")))),0,IF(OR(AND(S168=""NS"",S137>0,ISNUMBER(S137)),AND(S168=""NS"",S137=""NS""),OR(AND(S137=""NA"",S168=""NA""),AND(S137=""NA"",ISBLANK(S168)))),0,1))"
CNDHF_2022_M2_Secc4,Y168,b2,igual,b2.1=,"=IF(AND(Y168=Y137,OR(AND(ISNUMBER(Y137),ISNUMBER(Y168)),AND(ISBLANK(Y137),ISBLANK(Y168)),OR(AND(ISBLANK(Y137),Y168=""""),AND(ISBLANK(Y168),Y137="""")))),0,IF(OR(AND(Y168=""NS"",Y137>0,ISNUMBER(Y137)),AND(Y168=""NS"",Y137=""NS""),OR(AND(Y137=""NA"",Y168=""NA""),AND(Y137=""NA"",ISBLANK(Y168)))),0,1))"
CNDHF_2022_M2_Secc4,S138,a1,igual,a1.1=,"=IF(AND(S138=I80,OR(AND(ISNUMBER(I80),ISNUMBER(S138)),AND(ISBLANK(I80),ISBLANK(S138)),OR(AND(ISBLANK(I80),S138=""""),AND(ISBLANK(S138),I80="""")))),0,IF(OR(AND(S138=""NS"",I80>0,ISNUMBER(I80)),AND(S138=""NS"",I80=""NS""),OR(AND(I80=""NA"",S138=""NA""),AND(I80=""NA"",ISBLANK(S138)))),0,1))"
CNDHF_2022_M2_Secc4,M168,a9,igual,a9.1=,"=IF(AND(M168=M137,OR(AND(ISNUMBER(M137),ISNUMBER(M168)),AND(ISBLANK(M137),ISBLANK(M168)),OR(AND(ISBLANK(M137),M168=""""),AND(ISBLANK(M168),M137="""")))),0,IF(OR(AND(M168=""NS"",M137>0,ISNUMBER(M137)),AND(M168=""NS"",M137=""NS""),OR(AND(M137=""NA"",M168=""NA""),AND(M137=""NA"",ISBLANK(M168)))),0,1))"
